code,regionname,country
AN,Andaman Nicobar,IN
AP,Andhra Pradesh,IN
AR,Arunachal Pradesh,IN
AS,Assam,IN
BH,Bihar,IN
CH,Chandigarh,IN
CG,Chhattisgarh,IN
DN,Dadra Nagar Haveli,IN
DD,Daman Diu,IN
DL,Delhi,IN
GA,Goa,IN
GJ,Gujarat,IN
HR,Haryana,IN
HP,Himachal Pradesh,IN
JK,Jammu Kashmir,IN
JH,Jharkhand,IN
KA,Karnataka,IN
KL,Kerala,IN
LD,Lakshadweep,IN
MP,Madhya Pradesh,IN
MH,Maharashtra,IN
MN,Manipur,IN
ML,Meghalaya,IN
MZ,Mizoram,IN
NL,Nagaland,IN
OR,Odisha,IN
PY,Pondicherry,IN
PB,Punjab,IN
RJ,Rajasthan,IN
SK,Sikkim,IN
TN,Tamil Nadu,IN
TG,Telangana,IN
TR,Tripura,IN
UP,Uttar Pradesh,IN
UT,Uttaranchal,IN
WB,West Bengal,IN
